MSE vs. Position
X (cm)	Y (cm)	Z
-4.500000	4.500000	8.738377
-3.500000	4.500000	5.915409
-2.500000	4.500000	6.955709
-1.500000	4.500000	7.372636
-0.500000	4.500000	7.775586
0.500000	4.500000	4.925392
1.500000	4.500000	4.337363
2.500000	4.500000	4.280203
3.500000	4.500000	4.497201
4.500000	4.500000	16.179857
4.500000	3.500000	4.984795
3.500000	3.500000	4.702679
2.500000	3.500000	4.569429
1.500000	3.500000	4.399785
0.500000	3.500000	4.474505
-0.500000	3.500000	5.014133
-1.500000	3.500000	4.940893
-2.500000	3.500000	5.766815
-3.500000	3.500000	6.441765
-4.500000	3.500000	6.221932
-4.500000	2.500000	5.472025
-3.500000	2.500000	5.498601
-2.500000	2.500000	5.202780
-1.500000	2.500000	4.587547
-0.500000	2.500000	4.370737
0.500000	2.500000	4.431899
1.500000	2.500000	4.457899
2.500000	2.500000	4.514128
3.500000	2.500000	4.635973
4.500000	2.500000	4.794096
4.500000	1.500000	4.354498
3.500000	1.500000	4.285667
2.500000	1.500000	4.311194
1.500000	1.500000	4.250636
0.500000	1.500000	4.199628
-0.500000	1.500000	4.048656
-1.500000	1.500000	3.948264
-2.500000	1.500000	4.069525
-3.500000	1.500000	4.241178
-4.500000	1.500000	4.526049
-4.500000	0.500000	4.170363
-3.500000	0.500000	3.971685
-2.500000	0.500000	3.842420
-1.500000	0.500000	3.891174
-0.500000	0.500000	3.919347
0.500000	0.500000	4.179949
1.500000	0.500000	4.388295
2.500000	0.500000	4.459879
3.500000	0.500000	4.338414
4.500000	0.500000	4.425935
4.500000	-0.500000	4.610686
3.500000	-0.500000	4.264234
2.500000	-0.500000	4.162970
1.500000	-0.500000	4.091608
0.500000	-0.500000	3.742392
-0.500000	-0.500000	3.498438
-1.500000	-0.500000	3.385073
-2.500000	-0.500000	3.491332
-3.500000	-0.500000	3.719363
-4.500000	-0.500000	3.545115
-4.500000	-1.500000	5.189749
-3.500000	-1.500000	5.175881
-2.500000	-1.500000	4.515788
-1.500000	-1.500000	3.645659
-0.500000	-1.500000	3.122291
0.500000	-1.500000	3.047021
1.500000	-1.500000	3.192461
2.500000	-1.500000	3.492597
3.500000	-1.500000	3.506258
4.500000	-1.500000	4.517895
4.500000	-2.500000	4.869534
3.500000	-2.500000	3.939416
2.500000	-2.500000	3.063633
1.500000	-2.500000	2.746557
0.500000	-2.500000	3.136817
-0.500000	-2.500000	4.233227
-1.500000	-2.500000	4.207353
-2.500000	-2.500000	3.886358
-3.500000	-2.500000	4.047877
-4.500000	-2.500000	4.039137
-4.500000	-3.500000	4.730440
-3.500000	-3.500000	3.875583
-2.500000	-3.500000	3.378616
-1.500000	-3.500000	3.328514
-0.500000	-3.500000	3.655114
0.500000	-3.500000	4.171052
1.500000	-3.500000	3.102025
2.500000	-3.500000	2.813110
3.500000	-3.500000	3.640353
4.500000	-3.500000	4.475607
4.500000	-4.500000	4.525739
3.500000	-4.500000	3.361332
2.500000	-4.500000	3.257236
1.500000	-4.500000	4.763590
0.500000	-4.500000	3.553716
-0.500000	-4.500000	3.240820
-1.500000	-4.500000	4.022639
-2.500000	-4.500000	4.713691
-3.500000	-4.500000	4.892804
-4.500000	-4.500000	5.416569
