Eo1 vs. Position
X (cm)	Y (cm)	Z
-4.500000	4.500000	1.597180
-3.500000	4.500000	1.606901
-2.500000	4.500000	1.621877
-1.500000	4.500000	1.642558
-0.500000	4.500000	1.662191
0.500000	4.500000	1.685787
1.500000	4.500000	1.705185
2.500000	4.500000	1.725879
3.500000	4.500000	1.746728
4.500000	4.500000	1.706362
4.500000	3.500000	1.768704
3.500000	3.500000	1.752861
2.500000	3.500000	1.736382
1.500000	3.500000	1.717257
0.500000	3.500000	1.698392
-0.500000	3.500000	1.679973
-1.500000	3.500000	1.659877
-2.500000	3.500000	1.641688
-3.500000	3.500000	1.625392
-4.500000	3.500000	1.612373
-4.500000	2.500000	1.637829
-3.500000	2.500000	1.648619
-2.500000	2.500000	1.662314
-1.500000	2.500000	1.677484
-0.500000	2.500000	1.694100
0.500000	2.500000	1.711595
1.500000	2.500000	1.728806
2.500000	2.500000	1.743885
3.500000	2.500000	1.758294
4.500000	2.500000	1.770101
4.500000	1.500000	1.771517
3.500000	1.500000	1.762578
2.500000	1.500000	1.752380
1.500000	1.500000	1.739118
0.500000	1.500000	1.724713
-0.500000	1.500000	1.708690
-1.500000	1.500000	1.693686
-2.500000	1.500000	1.678923
-3.500000	1.500000	1.666261
-4.500000	1.500000	1.654312
-4.500000	0.500000	1.669840
-3.500000	0.500000	1.681427
-2.500000	0.500000	1.694674
-1.500000	0.500000	1.708569
-0.500000	0.500000	1.722873
0.500000	0.500000	1.738222
1.500000	0.500000	1.751283
2.500000	0.500000	1.761482
3.500000	0.500000	1.768249
4.500000	0.500000	1.772557
4.500000	-0.500000	1.769496
3.500000	-0.500000	1.769819
2.500000	-0.500000	1.765237
1.500000	-0.500000	1.757946
0.500000	-0.500000	1.747591
-0.500000	-0.500000	1.734757
-1.500000	-0.500000	1.721563
-2.500000	-0.500000	1.707423
-3.500000	-0.500000	1.694466
-4.500000	-0.500000	1.687247
-4.500000	-1.500000	1.712200
-3.500000	-1.500000	1.719421
-2.500000	-1.500000	1.727117
-1.500000	-1.500000	1.736423
-0.500000	-1.500000	1.747654
0.500000	-1.500000	1.756742
1.500000	-1.500000	1.764135
2.500000	-1.500000	1.768823
3.500000	-1.500000	1.769806
4.500000	-1.500000	1.763714
4.500000	-2.500000	1.763909
3.500000	-2.500000	1.769381
2.500000	-2.500000	1.771644
1.500000	-2.500000	1.769651
0.500000	-2.500000	1.764986
-0.500000	-2.500000	1.760189
-1.500000	-2.500000	1.755895
-2.500000	-2.500000	1.747248
-3.500000	-2.500000	1.736493
-4.500000	-2.500000	1.726633
-4.500000	-3.500000	1.737285
-3.500000	-3.500000	1.743999
-2.500000	-3.500000	1.756491
-1.500000	-3.500000	1.766433
-0.500000	-3.500000	1.774233
0.500000	-3.500000	1.774036
1.500000	-3.500000	1.773671
2.500000	-3.500000	1.775345
3.500000	-3.500000	1.772739
4.500000	-3.500000	1.768590
4.500000	-4.500000	1.770602
3.500000	-4.500000	1.774440
2.500000	-4.500000	1.777221
1.500000	-4.500000	1.779443
0.500000	-4.500000	1.787996
-0.500000	-4.500000	1.787842
-1.500000	-4.500000	1.779891
-2.500000	-4.500000	1.772088
-3.500000	-4.500000	1.765055
-4.500000	-4.500000	1.761555
