Thickness # 1 in nm vs. Position
X (cm)	Y (cm)	Z
-4.500000	4.500000	588.747803
-3.500000	4.500000	574.656433
-2.500000	4.500000	563.583557
-1.500000	4.500000	543.899780
-0.500000	4.500000	525.503906
0.500000	4.500000	505.274841
1.500000	4.500000	488.537537
2.500000	4.500000	472.934143
3.500000	4.500000	457.830811
4.500000	4.500000	489.853210
4.500000	3.500000	466.966644
3.500000	3.500000	473.346924
2.500000	3.500000	478.679047
1.500000	3.500000	486.508850
0.500000	3.500000	496.605072
-0.500000	3.500000	508.252136
-1.500000	3.500000	520.960022
-2.500000	3.500000	533.234741
-3.500000	3.500000	542.726685
-4.500000	3.500000	548.913818
-4.500000	2.500000	511.944031
-3.500000	2.500000	508.483795
-2.500000	2.500000	503.198792
-1.500000	2.500000	496.556580
-0.500000	2.500000	490.528564
0.500000	2.500000	484.872009
1.500000	2.500000	482.227051
2.500000	2.500000	483.295898
3.500000	2.500000	484.178467
4.500000	2.500000	486.700043
4.500000	1.500000	503.591949
3.500000	1.500000	494.676758
2.500000	1.500000	485.948303
1.500000	1.500000	478.773041
0.500000	1.500000	474.082092
-0.500000	1.500000	471.900452
-1.500000	1.500000	471.767822
-2.500000	1.500000	472.921570
-3.500000	1.500000	473.976563
-4.500000	1.500000	475.803131
-4.500000	0.500000	435.602631
-3.500000	0.500000	437.860352
-2.500000	0.500000	440.261719
-1.500000	0.500000	444.302643
-0.500000	0.500000	450.555847
0.500000	0.500000	458.395111
1.500000	0.500000	469.316345
2.500000	0.500000	483.041412
3.500000	0.500000	498.315613
4.500000	0.500000	516.450256
4.500000	-0.500000	525.135681
3.500000	-0.500000	500.769287
2.500000	-0.500000	479.369446
1.500000	-0.500000	460.062317
0.500000	-0.500000	442.506439
-0.500000	-0.500000	428.417908
-1.500000	-0.500000	416.803040
-2.500000	-0.500000	408.347595
-3.500000	-0.500000	401.870331
-4.500000	-0.500000	395.868134
-4.500000	-1.500000	359.483490
-3.500000	-1.500000	367.399994
-2.500000	-1.500000	377.085480
-1.500000	-1.500000	389.903748
-0.500000	-1.500000	404.254456
0.500000	-1.500000	423.164886
1.500000	-1.500000	445.436279
2.500000	-1.500000	469.913513
3.500000	-1.500000	497.278168
4.500000	-1.500000	526.787903
4.500000	-2.500000	522.487793
3.500000	-2.500000	489.702484
2.500000	-2.500000	457.347717
1.500000	-2.500000	428.277496
0.500000	-2.500000	403.009613
-0.500000	-2.500000	380.815857
-1.500000	-2.500000	360.456451
-2.500000	-2.500000	344.797272
-3.500000	-2.500000	332.224670
-4.500000	-2.500000	322.712952
-4.500000	-3.500000	288.220978
-3.500000	-3.500000	299.994568
-2.500000	-3.500000	312.330872
-1.500000	-3.500000	329.325684
-0.500000	-3.500000	351.634827
0.500000	-3.500000	378.154480
1.500000	-3.500000	407.313110
2.500000	-3.500000	439.436218
3.500000	-3.500000	475.903076
4.500000	-3.500000	512.023865
4.500000	-4.500000	493.217438
3.500000	-4.500000	455.214172
2.500000	-4.500000	418.114594
1.500000	-4.500000	385.892578
0.500000	-4.500000	349.732758
-0.500000	-4.500000	323.338806
-1.500000	-4.500000	300.812195
-2.500000	-4.500000	282.724609
-3.500000	-4.500000	268.472961
-4.500000	-4.500000	252.944748
