Thickness # 2 in nm vs. Position
X (cm)	Y (cm)	Z
-4.500000	4.500000	44.730854
-3.500000	4.500000	52.914722
-2.500000	4.500000	48.921806
-1.500000	4.500000	45.087517
-0.500000	4.500000	43.188461
0.500000	4.500000	40.669353
1.500000	4.500000	37.873325
2.500000	4.500000	36.745720
3.500000	4.500000	35.222054
4.500000	4.500000	33.899334
4.500000	3.500000	37.798786
3.500000	3.500000	40.609989
2.500000	3.500000	43.103294
1.500000	3.500000	44.563450
0.500000	3.500000	49.237583
-0.500000	3.500000	53.605175
-1.500000	3.500000	63.486351
-2.500000	3.500000	69.961327
-3.500000	3.500000	72.885178
-4.500000	3.500000	68.880508
-4.500000	2.500000	91.978264
-3.500000	2.500000	96.263992
-2.500000	2.500000	98.288788
-1.500000	2.500000	97.529266
-0.500000	2.500000	87.690109
0.500000	2.500000	79.767410
1.500000	2.500000	67.429794
2.500000	2.500000	58.859577
3.500000	2.500000	51.616951
4.500000	2.500000	45.151588
4.500000	1.500000	59.616779
3.500000	1.500000	71.129776
2.500000	1.500000	84.470695
1.500000	1.500000	97.999107
0.500000	1.500000	107.979721
-0.500000	1.500000	114.456238
-1.500000	1.500000	121.402184
-2.500000	1.500000	122.088890
-3.500000	1.500000	120.603683
-4.500000	1.500000	117.039261
-4.500000	0.500000	148.221054
-3.500000	0.500000	148.170502
-2.500000	0.500000	145.925140
-1.500000	0.500000	144.418411
-0.500000	0.500000	140.467316
0.500000	0.500000	131.621246
1.500000	0.500000	119.761620
2.500000	0.500000	106.948952
3.500000	0.500000	92.516983
4.500000	0.500000	78.106316
4.500000	-0.500000	96.586319
3.500000	-0.500000	112.688148
2.500000	-0.500000	128.341919
1.500000	-0.500000	144.028488
0.500000	-0.500000	156.746017
-0.500000	-0.500000	166.211334
-1.500000	-0.500000	171.590347
-2.500000	-0.500000	175.335175
-3.500000	-0.500000	179.254272
-4.500000	-0.500000	181.167404
-4.500000	-1.500000	221.426346
-3.500000	-1.500000	224.241302
-2.500000	-1.500000	221.235809
-1.500000	-1.500000	210.149078
-0.500000	-1.500000	197.226532
0.500000	-1.500000	183.116241
1.500000	-1.500000	169.547501
2.500000	-1.500000	151.663605
3.500000	-1.500000	132.920319
4.500000	-1.500000	115.013344
4.500000	-2.500000	132.998718
3.500000	-2.500000	154.240738
2.500000	-2.500000	180.371490
1.500000	-2.500000	194.756943
0.500000	-2.500000	216.253510
-0.500000	-2.500000	237.599335
-1.500000	-2.500000	253.543854
-2.500000	-2.500000	262.154877
-3.500000	-2.500000	263.793671
-4.500000	-2.500000	261.702820
-4.500000	-3.500000	307.463379
-3.500000	-3.500000	306.297180
-2.500000	-3.500000	300.533142
-1.500000	-3.500000	290.459808
-0.500000	-3.500000	278.885498
0.500000	-3.500000	255.200317
1.500000	-3.500000	227.496429
2.500000	-3.500000	199.790833
3.500000	-3.500000	175.743057
4.500000	-3.500000	150.975891
4.500000	-4.500000	154.336945
3.500000	-4.500000	195.022095
2.500000	-4.500000	229.133347
1.500000	-4.500000	261.631531
0.500000	-4.500000	284.658905
-0.500000	-4.500000	309.941498
-1.500000	-4.500000	331.583435
-2.500000	-4.500000	347.648621
-3.500000	-4.500000	356.883240
-4.500000	-4.500000	357.849762
