Thickness # 1 in nm vs. Position
X (cm)	Y (cm)	Z
-4.500000	4.500000	182.615005
-3.500000	4.500000	215.390457
-2.500000	4.500000	252.316727
-1.500000	4.500000	289.666290
-0.500000	4.500000	326.819489
0.500000	4.500000	365.844513
1.500000	4.500000	406.904785
2.500000	4.500000	447.353027
3.500000	4.500000	487.441345
4.500000	4.500000	525.571472
4.500000	3.500000	515.451294
3.500000	3.500000	478.683899
2.500000	3.500000	440.654968
1.500000	3.500000	402.191162
0.500000	3.500000	361.221100
-0.500000	3.500000	322.282806
-1.500000	3.500000	280.413269
-2.500000	3.500000	242.246780
-3.500000	3.500000	208.123215
-4.500000	3.500000	182.081528
-4.500000	2.500000	176.575562
-3.500000	2.500000	200.090103
-2.500000	2.500000	227.899506
-1.500000	2.500000	258.635468
-0.500000	2.500000	298.025116
0.500000	2.500000	336.910889
1.500000	2.500000	381.689667
2.500000	2.500000	423.511230
3.500000	2.500000	461.769440
4.500000	2.500000	497.867340
4.500000	1.500000	470.185638
3.500000	1.500000	434.367493
2.500000	1.500000	394.987610
1.500000	1.500000	353.718689
0.500000	1.500000	315.866730
-0.500000	1.500000	283.467163
-1.500000	1.500000	249.246704
-2.500000	1.500000	220.508453
-3.500000	1.500000	194.160660
-4.500000	1.500000	170.235138
-4.500000	0.500000	161.780945
-3.500000	0.500000	187.409088
-2.500000	0.500000	214.913849
-1.500000	0.500000	240.568207
-0.500000	0.500000	269.240082
0.500000	0.500000	301.432709
1.500000	0.500000	335.258301
2.500000	0.500000	369.519104
3.500000	0.500000	403.625916
4.500000	0.500000	436.666077
4.500000	-0.500000	402.347687
3.500000	-0.500000	374.037384
2.500000	-0.500000	345.059906
1.500000	-0.500000	314.436493
0.500000	-0.500000	283.955994
-0.500000	-0.500000	255.193085
-1.500000	-0.500000	229.839600
-2.500000	-0.500000	205.051682
-3.500000	-0.500000	178.712250
-4.500000	-0.500000	153.891479
-4.500000	-1.500000	143.080688
-3.500000	-1.500000	161.718475
-2.500000	-1.500000	183.968658
-1.500000	-1.500000	211.119995
-0.500000	-1.500000	238.048828
0.500000	-1.500000	264.152222
1.500000	-1.500000	289.920227
2.500000	-1.500000	317.578979
3.500000	-1.500000	343.784485
4.500000	-1.500000	367.939331
4.500000	-2.500000	333.520599
3.500000	-2.500000	312.471069
2.500000	-2.500000	285.888885
1.500000	-2.500000	267.282990
0.500000	-2.500000	241.754440
-0.500000	-2.500000	214.958572
-1.500000	-2.500000	190.794174
-2.500000	-2.500000	170.433212
-3.500000	-2.500000	152.975479
-4.500000	-2.500000	136.309143
-4.500000	-3.500000	126.794128
-3.500000	-3.500000	142.860687
-2.500000	-3.500000	159.891769
-1.500000	-3.500000	177.670547
-0.500000	-3.500000	193.872940
0.500000	-3.500000	217.777130
1.500000	-3.500000	241.214569
2.500000	-3.500000	263.888214
3.500000	-3.500000	281.143494
4.500000	-3.500000	296.159851
4.500000	-4.500000	254.685013
3.500000	-4.500000	253.544098
2.500000	-4.500000	236.065186
1.500000	-4.500000	215.844650
0.500000	-4.500000	202.429840
-0.500000	-4.500000	182.552582
-1.500000	-4.500000	162.157455
-2.500000	-4.500000	144.001892
-3.500000	-4.500000	127.657738
-4.500000	-4.500000	112.891434
