Eo1 vs. Position
X (cm)	Y (cm)	Z
-0.000000	4.500000	1.658610
-1.800000	4.050000	1.705006
-1.350000	4.050000	1.711265
-0.900000	4.050000	1.714893
-0.450000	4.050000	1.717316
0.000000	4.050000	1.722550
0.450000	4.050000	1.729680
0.900000	4.050000	1.736479
1.350000	4.050000	1.743954
1.800000	4.050000	1.751488
2.700000	3.600000	1.772358
2.250000	3.600000	1.764653
1.800000	3.600000	1.757081
1.350000	3.600000	1.748074
0.900000	3.600000	1.741418
0.450000	3.600000	1.732726
-0.000000	3.600000	1.728155
-0.450000	3.600000	1.723480
-0.900000	3.600000	1.721211
-1.350000	3.600000	1.716922
-1.800000	3.600000	1.711991
-2.250000	3.600000	1.706747
-2.700000	3.600000	1.696060
-3.150000	3.150000	1.694449
-2.700000	3.150000	1.705490
-2.250000	3.150000	1.711592
-1.800000	3.150000	1.715089
-1.350000	3.150000	1.719206
-0.900000	3.150000	1.725062
-0.450000	3.150000	1.728711
0.000000	3.150000	1.734304
0.450000	3.150000	1.740528
0.900000	3.150000	1.748468
1.350000	3.150000	1.755487
1.800000	3.150000	1.763683
2.250000	3.150000	1.770784
2.700000	3.150000	1.776678
3.150000	3.150000	1.782698
3.600000	2.700000	1.791746
3.150000	2.700000	1.786361
2.700000	2.700000	1.780232
2.250000	2.700000	1.776867
1.800000	2.700000	1.770571
1.350000	2.700000	1.762630
0.900000	2.700000	1.753646
0.450000	2.700000	1.744548
-0.000000	2.700000	1.736285
-0.450000	2.700000	1.734127
-0.900000	2.700000	1.729586
-1.350000	2.700000	1.721284
-1.800000	2.700000	1.718340
-2.250000	2.700000	1.715100
-2.700000	2.700000	1.711459
-3.150000	2.700000	1.703733
-3.600000	2.700000	1.691232
-3.600000	2.250000	1.699550
-3.150000	2.250000	1.710621
-2.700000	2.250000	1.712429
-2.250000	2.250000	1.715537
-1.800000	2.250000	1.719178
-1.350000	2.250000	1.724415
-0.900000	2.250000	1.731716
-0.450000	2.250000	1.738537
0.000000	2.250000	1.742338
0.450000	2.250000	1.750131
0.900000	2.250000	1.760793
1.350000	2.250000	1.769706
1.800000	2.250000	1.776778
2.250000	2.250000	1.781963
2.700000	2.250000	1.784618
3.150000	2.250000	1.789450
3.600000	2.250000	1.795157
4.050000	1.800000	1.798599
3.600000	1.800000	1.797233
3.150000	1.800000	1.793128
2.700000	1.800000	1.790107
2.250000	1.800000	1.787912
1.800000	1.800000	1.780833
1.350000	1.800000	1.773796
0.900000	1.800000	1.766241
0.450000	1.800000	1.758326
-0.000000	1.800000	1.750693
-0.450000	1.800000	1.743541
-0.900000	1.800000	1.734734
-1.350000	1.800000	1.727564
-1.800000	1.800000	1.723054
-2.250000	1.800000	1.719136
-2.700000	1.800000	1.714624
-3.150000	1.800000	1.715673
-3.600000	1.800000	1.709164
-4.050000	1.800000	1.691122
-4.050000	1.350000	1.700102
-3.600000	1.350000	1.718917
-3.150000	1.350000	1.723673
-2.700000	1.350000	1.724102
-2.250000	1.350000	1.730337
-1.800000	1.350000	1.736680
-1.350000	1.350000	1.738385
-0.900000	1.350000	1.740809
-0.450000	1.350000	1.749992
0.000000	1.350000	1.757368
0.450000	1.350000	1.763884
0.900000	1.350000	1.771865
1.350000	1.350000	1.778799
1.800000	1.350000	1.784685
2.250000	1.350000	1.789941
2.700000	1.350000	1.794006
3.150000	1.350000	1.795955
3.600000	1.350000	1.797664
4.050000	1.350000	1.800152
4.050000	0.900000	1.801101
3.600000	0.900000	1.800083
3.150000	0.900000	1.797798
2.700000	0.900000	1.796252
2.250000	0.900000	1.793161
1.800000	0.900000	1.789068
1.350000	0.900000	1.782112
0.900000	0.900000	1.777696
0.450000	0.900000	1.771256
-0.000000	0.900000	1.767847
-0.450000	0.900000	1.759788
-0.900000	0.900000	1.752953
-1.350000	0.900000	1.744367
-1.800000	0.900000	1.740599
-2.250000	0.900000	1.733669
-2.700000	0.900000	1.732982
-3.150000	0.900000	1.728108
-3.600000	0.900000	1.722224
-4.050000	0.900000	1.709038
-4.050000	0.450000	1.719733
-3.600000	0.450000	1.727760
-3.150000	0.450000	1.733408
-2.700000	0.450000	1.739369
-2.250000	0.450000	1.739805
-1.800000	0.450000	1.748401
-1.350000	0.450000	1.754974
-0.900000	0.450000	1.759528
-0.450000	0.450000	1.769193
0.000000	0.450000	1.776144
0.450000	0.450000	1.778386
0.900000	0.450000	1.782831
1.350000	0.450000	1.787293
1.800000	0.450000	1.792924
2.250000	0.450000	1.796548
2.700000	0.450000	1.798363
3.150000	0.450000	1.799008
3.600000	0.450000	1.800058
4.050000	0.450000	1.798550
4.500000	-0.000000	1.799037
4.050000	-0.000000	1.797383
3.600000	-0.000000	1.799112
3.150000	-0.000000	1.800144
2.700000	-0.000000	1.799374
2.250000	-0.000000	1.798904
1.800000	-0.000000	1.797214
1.350000	-0.000000	1.794435
0.900000	-0.000000	1.790751
0.450000	-0.000000	1.786941
-0.000000	-0.000000	1.782107
-0.450000	-0.000000	1.774880
-0.900000	-0.000000	1.768467
-1.350000	-0.000000	1.760789
-1.800000	-0.000000	1.753153
-2.250000	-0.000000	1.747098
-2.700000	-0.000000	1.744826
-3.150000	-0.000000	1.739423
-3.600000	-0.000000	1.734532
-4.050000	-0.000000	1.726354
-4.500000	-0.000000	1.695066
-4.050000	-0.450000	1.723351
-3.600000	-0.450000	1.735810
-3.150000	-0.450000	1.742570
-2.700000	-0.450000	1.749464
-2.250000	-0.450000	1.757027
-1.800000	-0.450000	1.764499
-1.350000	-0.450000	1.768284
-0.900000	-0.450000	1.775138
-0.450000	-0.450000	1.784066
0.000000	-0.450000	1.790561
0.450000	-0.450000	1.793843
0.900000	-0.450000	1.797164
1.350000	-0.450000	1.799529
1.800000	-0.450000	1.801104
2.250000	-0.450000	1.801855
2.700000	-0.450000	1.800529
3.150000	-0.450000	1.799867
3.600000	-0.450000	1.798591
4.050000	-0.450000	1.798239
4.050000	-0.900000	1.799173
3.600000	-0.900000	1.797973
3.150000	-0.900000	1.801071
2.700000	-0.900000	1.801897
2.250000	-0.900000	1.802755
1.800000	-0.900000	1.804153
1.350000	-0.900000	1.803537
0.900000	-0.900000	1.802339
0.450000	-0.900000	1.800402
-0.000000	-0.900000	1.794542
-0.450000	-0.900000	1.788531
-0.900000	-0.900000	1.781688
-1.350000	-0.900000	1.777779
-1.800000	-0.900000	1.767442
-2.250000	-0.900000	1.756570
-2.700000	-0.900000	1.754822
-3.150000	-0.900000	1.745875
-3.600000	-0.900000	1.738047
-4.050000	-0.900000	1.715400
-4.050000	-1.350000	1.718833
-3.600000	-1.350000	1.742751
-3.150000	-1.350000	1.753416
-2.700000	-1.350000	1.760874
-2.250000	-1.350000	1.766160
-1.800000	-1.350000	1.774395
-1.350000	-1.350000	1.782421
-0.900000	-1.350000	1.789438
-0.450000	-1.350000	1.794119
0.000000	-1.350000	1.799984
0.450000	-1.350000	1.803781
0.900000	-1.350000	1.804776
1.350000	-1.350000	1.804015
1.800000	-1.350000	1.804795
2.250000	-1.350000	1.805614
2.700000	-1.350000	1.805550
3.150000	-1.350000	1.800622
3.600000	-1.350000	1.799147
4.050000	-1.350000	1.801201
4.050000	-1.800000	1.801913
3.600000	-1.800000	1.800834
3.150000	-1.800000	1.801679
2.700000	-1.800000	1.805474
2.250000	-1.800000	1.808040
1.800000	-1.800000	1.807143
1.350000	-1.800000	1.807299
0.900000	-1.800000	1.807541
0.450000	-1.800000	1.806483
-0.000000	-1.800000	1.802385
-0.450000	-1.800000	1.799027
-0.900000	-1.800000	1.793643
-1.350000	-1.800000	1.787554
-1.800000	-1.800000	1.782091
-2.250000	-1.800000	1.776894
-2.700000	-1.800000	1.770313
-3.150000	-1.800000	1.763585
-3.600000	-1.800000	1.751871
-4.050000	-1.800000	1.728092
-3.600000	-2.250000	1.760502
-3.150000	-2.250000	1.771262
-2.700000	-2.250000	1.780520
-2.250000	-2.250000	1.786599
-1.800000	-2.250000	1.789595
-1.350000	-2.250000	1.793851
-0.900000	-2.250000	1.798757
-0.450000	-2.250000	1.803004
0.000000	-2.250000	1.805290
0.450000	-2.250000	1.806826
0.900000	-2.250000	1.806734
1.350000	-2.250000	1.807248
1.800000	-2.250000	1.806646
2.250000	-2.250000	1.806374
2.700000	-2.250000	1.804641
3.150000	-2.250000	1.801305
3.600000	-2.250000	1.801492
3.600000	-2.700000	1.800224
3.150000	-2.700000	1.799838
2.700000	-2.700000	1.800677
2.250000	-2.700000	1.802306
1.800000	-2.700000	1.802903
1.350000	-2.700000	1.803690
0.900000	-2.700000	1.805718
0.450000	-2.700000	1.807697
-0.000000	-2.700000	1.808928
-0.450000	-2.700000	1.807662
-0.900000	-2.700000	1.805603
-1.350000	-2.700000	1.802224
-1.800000	-2.700000	1.799671
-2.250000	-2.700000	1.795545
-2.700000	-2.700000	1.790653
-3.150000	-2.700000	1.782457
-3.600000	-2.700000	1.768897
-3.150000	-3.150000	1.788198
-2.700000	-3.150000	1.798947
-2.250000	-3.150000	1.801196
-1.800000	-3.150000	1.806966
-1.350000	-3.150000	1.811739
-0.900000	-3.150000	1.813427
-0.450000	-3.150000	1.814084
0.000000	-3.150000	1.812749
0.450000	-3.150000	1.809668
0.900000	-3.150000	1.804569
1.350000	-3.150000	1.799831
1.800000	-3.150000	1.798328
2.250000	-3.150000	1.796603
2.700000	-3.150000	1.795991
3.150000	-3.150000	1.796126
2.700000	-3.600000	1.789380
2.250000	-3.600000	1.791613
1.800000	-3.600000	1.794408
1.350000	-3.600000	1.797520
0.900000	-3.600000	1.804980
0.450000	-3.600000	1.812853
-0.000000	-3.600000	1.819259
-0.450000	-3.600000	1.821313
-0.900000	-3.600000	1.821292
-1.350000	-3.600000	1.819950
-1.800000	-3.600000	1.815521
-2.250000	-3.600000	1.810145
-2.700000	-3.600000	1.805438
-1.800000	-4.050000	1.824496
-1.350000	-4.050000	1.827879
-0.900000	-4.050000	1.829451
-0.450000	-4.050000	1.828819
0.000000	-4.050000	1.824889
0.450000	-4.050000	1.817050
0.900000	-4.050000	1.807244
1.350000	-4.050000	1.798720
1.800000	-4.050000	1.792579
-0.000000	-4.500000	1.829435
