Thickness # 1 in nm vs. Position
X (cm)	Y (cm)	Z
-0.000000	4.500000	511.244965
-1.800000	4.050000	564.472473
-1.350000	4.050000	554.567261
-0.900000	4.050000	546.488525
-0.450000	4.050000	539.087219
0.000000	4.050000	531.822144
0.450000	4.050000	525.102417
0.900000	4.050000	518.057678
1.350000	4.050000	511.512115
1.800000	4.050000	505.355804
2.700000	3.600000	497.899994
2.250000	3.600000	499.112701
1.800000	3.600000	501.743988
1.350000	3.600000	506.293152
0.900000	3.600000	511.719910
0.450000	3.600000	517.806824
-0.000000	3.600000	523.649658
-0.450000	3.600000	530.052856
-0.900000	3.600000	536.125610
-1.350000	3.600000	542.901367
-1.800000	3.600000	549.493103
-2.250000	3.600000	556.369019
-2.700000	3.600000	572.837952
-3.150000	3.150000	562.429016
-2.700000	3.150000	546.693115
-2.250000	3.150000	540.981018
-1.800000	3.150000	536.661865
-1.350000	3.150000	531.932251
-0.900000	3.150000	526.416260
-0.450000	3.150000	521.329346
0.000000	3.150000	515.885681
0.450000	3.150000	510.684570
0.900000	3.150000	505.528564
1.350000	3.150000	501.544434
1.800000	3.150000	498.769623
2.250000	3.150000	497.059265
2.700000	3.150000	497.253418
3.150000	3.150000	498.406189
3.600000	2.700000	501.833649
3.150000	2.700000	498.917725
2.700000	2.700000	496.491394
2.250000	2.700000	495.346497
1.800000	2.700000	496.133057
1.350000	2.700000	497.407227
0.900000	2.700000	499.406891
0.450000	2.700000	503.065613
-0.000000	2.700000	506.587646
-0.450000	2.700000	510.816650
-0.900000	2.700000	515.281982
-1.350000	2.700000	519.879150
-1.800000	2.700000	523.856140
-2.250000	2.700000	526.953918
-2.700000	2.700000	530.297180
-3.150000	2.700000	535.888062
-3.600000	2.700000	551.840454
-3.600000	2.250000	525.613770
-3.150000	2.250000	517.231323
-2.700000	2.250000	515.337463
-2.250000	2.250000	512.765747
-1.800000	2.250000	510.148041
-1.350000	2.250000	507.783630
-0.900000	2.250000	504.447266
-0.450000	2.250000	500.164642
0.000000	2.250000	497.569153
0.450000	2.250000	495.518982
0.900000	2.250000	493.175201
1.350000	2.250000	492.918152
1.800000	2.250000	493.010895
2.250000	2.250000	493.917389
2.700000	2.250000	496.025696
3.150000	2.250000	500.700378
3.600000	2.250000	503.868073
4.050000	1.800000	511.494537
3.600000	1.800000	505.814697
3.150000	1.800000	501.111145
2.700000	1.800000	495.975891
2.250000	1.800000	491.663818
1.800000	1.800000	489.696594
1.350000	1.800000	488.359375
0.900000	1.800000	487.198334
0.450000	1.800000	486.961761
-0.000000	1.800000	487.565826
-0.450000	1.800000	489.297180
-0.900000	1.800000	491.447571
-1.350000	1.800000	493.977356
-1.800000	1.800000	495.921570
-2.250000	1.800000	496.776550
-2.700000	1.800000	498.893646
