Eo1 vs. Position
X (cm)	Y (cm)	Z
-0.000000	4.500000	1.839533
-1.800000	4.050000	1.849238
-1.350000	4.050000	1.853095
-0.900000	4.050000	1.849594
-0.450000	4.050000	1.844469
0.000000	4.050000	1.841480
0.450000	4.050000	1.838019
0.900000	4.050000	1.833898
1.350000	4.050000	1.830155
1.800000	4.050000	1.825618
2.700000	3.600000	1.804243
2.250000	3.600000	1.809714
1.800000	3.600000	1.816371
1.350000	3.600000	1.821777
0.900000	3.600000	1.825539
0.450000	3.600000	1.830173
-0.000000	3.600000	1.836297
-0.450000	3.600000	1.842128
-0.900000	3.600000	1.850765
-1.350000	3.600000	1.858219
-1.800000	3.600000	1.861106
-2.250000	3.600000	1.859116
-2.700000	3.600000	1.838930
-3.150000	3.150000	1.837987
-2.700000	3.150000	1.858023
-2.250000	3.150000	1.860029
-1.800000	3.150000	1.858344
-1.350000	3.150000	1.855204
-0.900000	3.150000	1.848196
-0.450000	3.150000	1.840044
0.000000	3.150000	1.831842
0.450000	3.150000	1.823668
0.900000	3.150000	1.817728
1.350000	3.150000	1.811693
1.800000	3.150000	1.805805
2.250000	3.150000	1.799348
2.700000	3.150000	1.792166
3.150000	3.150000	1.785349
3.600000	2.700000	1.764380
3.150000	2.700000	1.771086
2.700000	2.700000	1.780555
2.250000	2.700000	1.788172
1.800000	2.700000	1.795472
1.350000	2.700000	1.802415
0.900000	2.700000	1.811374
0.450000	2.700000	1.821372
-0.000000	2.700000	1.831425
-0.450000	2.700000	1.837457
-0.900000	2.700000	1.846424
-1.350000	2.700000	1.854264
-1.800000	2.700000	1.856590
-2.250000	2.700000	1.856491
-2.700000	2.700000	1.853767
-3.150000	2.700000	1.848483
-3.600000	2.700000	1.833081
-3.600000	2.250000	1.840806
-3.150000	2.250000	1.852323
-2.700000	2.250000	1.858239
-2.250000	2.250000	1.857556
-1.800000	2.250000	1.853501
-1.350000	2.250000	1.852417
-0.900000	2.250000	1.846181
-0.450000	2.250000	1.834640
0.000000	2.250000	1.827847
0.450000	2.250000	1.821487
0.900000	2.250000	1.806830
1.350000	2.250000	1.797669
1.800000	2.250000	1.787495
2.250000	2.250000	1.778549
2.700000	2.250000	1.771241
3.150000	2.250000	1.760442
3.600000	2.250000	1.748134
4.050000	1.800000	1.727072
3.600000	1.800000	1.739665
3.150000	1.800000	1.753744
2.700000	1.800000	1.764243
2.250000	1.800000	1.774567
1.800000	1.800000	1.786940
1.350000	1.800000	1.796434
0.900000	1.800000	1.807593
0.450000	1.800000	1.818006
-0.000000	1.800000	1.824117
-0.450000	1.800000	1.832276
-0.900000	1.800000	1.839971
-1.350000	1.800000	1.844727
-1.800000	1.800000	1.847679
-2.250000	1.800000	1.848148
-2.700000	1.800000	1.853192
-3.150000	1.800000	1.857489
-3.600000	1.800000	1.846856
-4.050000	1.800000	1.831855
-4.050000	1.350000	1.834113
-3.600000	1.350000	1.847782
-3.150000	1.350000	1.854236
-2.700000	1.350000	1.849406
-2.250000	1.350000	1.845149
-1.800000	1.350000	1.842980
-1.350000	1.350000	1.836610
-0.900000	1.350000	1.829957
-0.450000	1.350000	1.826321
0.000000	1.350000	1.817687
0.450000	1.350000	1.811284
0.900000	1.350000	1.803564
1.350000	1.350000	1.794529
1.800000	1.350000	1.786391
2.250000	1.350000	1.775375
2.700000	1.350000	1.760489
3.150000	1.350000	1.749693
3.600000	1.350000	1.736228
4.050000	1.350000	1.717416
4.050000	0.900000	1.716516
3.600000	0.900000	1.737045
3.150000	0.900000	1.750655
2.700000	0.900000	1.759488
2.250000	0.900000	1.772372
1.800000	0.900000	1.781778
1.350000	0.900000	1.789975
0.900000	0.900000	1.798070
0.450000	0.900000	1.804465
-0.000000	0.900000	1.814335
-0.450000	0.900000	1.821266
-0.900000	0.900000	1.822296
-1.350000	0.900000	1.828701
-1.800000	0.900000	1.835940
-2.250000	0.900000	1.842066
-2.700000	0.900000	1.844170
-3.150000	0.900000	1.848319
-3.600000	0.900000	1.845598
-4.050000	0.900000	1.835454
-4.050000	0.450000	1.837839
-3.600000	0.450000	1.843596
-3.150000	0.450000	1.842211
-2.700000	0.450000	1.837604
-2.250000	0.450000	1.834519
-1.800000	0.450000	1.827729
-1.350000	0.450000	1.824363
-0.900000	0.450000	1.817362
-0.450000	0.450000	1.812743
0.000000	0.450000	1.806216
0.450000	0.450000	1.796824
0.900000	0.450000	1.789167
1.350000	0.450000	1.783026
1.800000	0.450000	1.775278
2.250000	0.450000	1.765558
2.700000	0.450000	1.755849
3.150000	0.450000	1.749192
3.600000	0.450000	1.736608
4.050000	0.450000	1.718444
4.500000	-0.000000	1.701083
4.050000	-0.000000	1.716204
3.600000	-0.000000	1.732079
3.150000	-0.000000	1.742325
2.700000	-0.000000	1.749777
2.250000	-0.000000	1.759161
1.800000	-0.000000	1.767603
1.350000	-0.000000	1.774602
0.900000	-0.000000	1.779164
0.450000	-0.000000	1.786685
-0.000000	-0.000000	1.796836
-0.450000	-0.000000	1.804025
-0.900000	-0.000000	1.809861
-1.350000	-0.000000	1.814193
-1.800000	-0.000000	1.821626
-2.250000	-0.000000	1.825901
-2.700000	-0.000000	1.832395
-3.150000	-0.000000	1.838892
-3.600000	-0.000000	1.842984
-4.050000	-0.000000	1.835612
-4.500000	-0.000000	1.822750
-4.050000	-0.450000	1.827650
-3.600000	-0.450000	1.840116
-3.150000	-0.450000	1.834775
-2.700000	-0.450000	1.825604
-2.250000	-0.450000	1.821782
-1.800000	-0.450000	1.815966
-1.350000	-0.450000	1.808017
-0.900000	-0.450000	1.801271
-0.450000	-0.450000	1.795483
0.000000	-0.450000	1.789263
0.450000	-0.450000	1.780942
0.900000	-0.450000	1.773537
1.350000	-0.450000	1.766948
1.800000	-0.450000	1.758834
2.250000	-0.450000	1.750178
2.700000	-0.450000	1.741513
3.150000	-0.450000	1.734105
3.600000	-0.450000	1.723849
4.050000	-0.450000	1.711285
4.050000	-0.900000	1.704553
3.600000	-0.900000	1.716221
3.150000	-0.900000	1.726269
2.700000	-0.900000	1.734368
2.250000	-0.900000	1.740786
1.800000	-0.900000	1.749755
1.350000	-0.900000	1.758510
0.900000	-0.900000	1.765965
0.450000	-0.900000	1.772700
-0.000000	-0.900000	1.778812
-0.450000	-0.900000	1.786994
-0.900000	-0.900000	1.793711
-1.350000	-0.900000	1.802351
-1.800000	-0.900000	1.807677
-2.250000	-0.900000	1.816276
-2.700000	-0.900000	1.826831
-3.150000	-0.900000	1.832075
-3.600000	-0.900000	1.837592
-4.050000	-0.900000	1.820081
-4.050000	-1.350000	1.818372
-3.600000	-1.350000	1.830781
-3.150000	-1.350000	1.830249
-2.700000	-1.350000	1.820096
-2.250000	-1.350000	1.808781
-1.800000	-1.350000	1.800563
-1.350000	-1.350000	1.797437
-0.900000	-1.350000	1.787787
-0.450000	-1.350000	1.780541
0.000000	-1.350000	1.772706
0.450000	-1.350000	1.765280
0.900000	-1.350000	1.756852
1.350000	-1.350000	1.747906
1.800000	-1.350000	1.740912
2.250000	-1.350000	1.734245
2.700000	-1.350000	1.727131
3.150000	-1.350000	1.718253
3.600000	-1.350000	1.709715
4.050000	-1.350000	1.698007
4.050000	-1.800000	1.691426
3.600000	-1.800000	1.702694
3.150000	-1.800000	1.711483
2.700000	-1.800000	1.718355
2.250000	-1.800000	1.727364
1.800000	-1.800000	1.733994
1.350000	-1.800000	1.742065
0.900000	-1.800000	1.749802
0.450000	-1.800000	1.757649
-0.000000	-1.800000	1.765431
-0.450000	-1.800000	1.773711
-0.900000	-1.800000	1.782332
-1.350000	-1.800000	1.791968
-1.800000	-1.800000	1.798040
-2.250000	-1.800000	1.806540
-2.700000	-1.800000	1.818430
-3.150000	-1.800000	1.828992
-3.600000	-1.800000	1.821299
-4.050000	-1.800000	1.811089
-3.600000	-2.250000	1.809221
-3.150000	-2.250000	1.822382
-2.700000	-2.250000	1.818913
-2.250000	-2.250000	1.805400
-1.800000	-2.250000	1.795193
-1.350000	-2.250000	1.786130
-0.900000	-2.250000	1.776538
-0.450000	-2.250000	1.767914
0.000000	-2.250000	1.759045
0.450000	-2.250000	1.750670
0.900000	-2.250000	1.742764
1.350000	-2.250000	1.735265
1.800000	-2.250000	1.727125
2.250000	-2.250000	1.719888
2.700000	-2.250000	1.712278
3.150000	-2.250000	1.704482
