Thickness # 1 in nm vs. Position
X (cm)	Y (cm)	Z
-0.000000	4.500000	333.368469
-1.800000	4.050000	401.049225
-1.350000	4.050000	382.729950
-0.900000	4.050000	370.915710
-0.450000	4.050000	360.679504
0.000000	4.050000	351.147095
0.450000	4.050000	343.334778
0.900000	4.050000	336.342010
1.350000	4.050000	330.434967
1.800000	4.050000	325.424561
2.700000	3.600000	329.756104
2.250000	3.600000	332.950165
1.800000	3.600000	336.126923
1.350000	3.600000	341.020660
0.900000	3.600000	347.708801
0.450000	3.600000	355.042206
-0.000000	3.600000	363.109924
-0.450000	3.600000	372.199036
-0.900000	3.600000	381.682556
-1.350000	3.600000	393.041656
-1.800000	3.600000	405.860748
-2.250000	3.600000	421.477722
-2.700000	3.600000	447.179016
-3.150000	3.150000	469.246002
-2.700000	3.150000	443.713959
-2.250000	3.150000	428.210999
-1.800000	3.150000	414.811279
-1.350000	3.150000	403.277679
-0.900000	3.150000	393.403381
-0.450000	3.150000	383.700073
0.000000	3.150000	374.660095
0.450000	3.150000	366.715607
0.900000	3.150000	359.297485
1.350000	3.150000	353.044861
1.800000	3.150000	347.880432
2.250000	3.150000	343.704590
2.700000	3.150000	341.441315
3.150000	3.150000	339.708984
3.600000	2.700000	351.035461
3.150000	2.700000	352.065491
2.700000	2.700000	353.012787
2.250000	2.700000	355.830231
1.800000	2.700000	359.918732
1.350000	2.700000	365.304749
0.900000	2.700000	371.553040
0.450000	2.700000	378.587250
-0.000000	2.700000	386.975433
-0.450000	2.700000	395.462311
-0.900000	2.700000	404.034821
-1.350000	2.700000	413.685699
-1.800000	2.700000	423.762787
-2.250000	2.700000	434.923187
-2.700000	2.700000	448.372559
-3.150000	2.700000	466.336670
-3.600000	2.700000	492.335785
-3.600000	2.250000	492.009705
-3.150000	2.250000	468.770508
-2.700000	2.250000	455.443420
-2.250000	2.250000	443.841461
-1.800000	2.250000	434.388672
-1.350000	2.250000	423.856445
-0.900000	2.250000	413.947266
-0.450000	2.250000	406.371521
0.000000	2.250000	398.848755
0.450000	2.250000	390.432739
0.900000	2.250000	383.766571
1.350000	2.250000	377.450836
1.800000	2.250000	372.175537
2.250000	2.250000	368.251709
2.700000	2.250000	365.180237
3.150000	2.250000	364.089142
3.600000	2.250000	364.882385
4.050000	1.800000	378.369080
3.600000	1.800000	377.191101
3.150000	1.800000	376.888794
2.700000	1.800000	378.255768
2.250000	1.800000	381.070251
1.800000	1.800000	384.921600
1.350000	1.800000	390.351379
0.900000	1.800000	395.731934
0.450000	1.800000	402.135071
-0.000000	1.800000	409.348694
-0.450000	1.800000	416.869446
-0.900000	1.800000	425.344543
-1.350000	1.800000	434.387207
-1.800000	1.800000	443.742035
-2.250000	1.800000	453.276703
-2.700000	1.800000	463.556213
-3.150000	1.800000	473.951080
-3.600000	1.800000	491.432190
-4.050000	1.800000	517.434631
-4.050000	1.350000	518.609619
-3.600000	1.350000	492.513245
-3.150000	1.350000	479.355774
-2.700000	1.350000	469.439636
-2.250000	1.350000	460.431213
-1.800000	1.350000	451.640961
-1.350000	1.350000	443.026794
-0.900000	1.350000	435.566559
-0.450000	1.350000	426.689301
0.000000	1.350000	420.249329
0.450000	1.350000	413.679840
0.900000	1.350000	407.618652
1.350000	1.350000	402.698456
1.800000	1.350000	398.319031
2.250000	1.350000	394.396332
2.700000	1.350000	392.170258
3.150000	1.350000	390.792267
3.600000	1.350000	390.497009
4.050000	1.350000	392.984192
4.050000	0.900000	407.688110
3.600000	0.900000	405.032898
3.150000	0.900000	405.060516
2.700000	0.900000	406.755005
2.250000	0.900000	408.495422
1.800000	0.900000	410.890045
1.350000	0.900000	415.086334
0.900000	0.900000	419.853668
0.450000	0.900000	424.388519
-0.000000	0.900000	429.264984
-0.450000	0.900000	436.189117
-0.900000	0.900000	444.369629
-1.350000	0.900000	451.683167
-1.800000	0.900000	458.216949
-2.250000	0.900000	465.762512
-2.700000	0.900000	474.782318
-3.150000	0.900000	483.224792
