Opt. Const. of Cauchy vs. nm
nm	n	k
241.143356	1.577806	0.012818	
242.734009	1.576178	0.012755	
244.324661	1.574593	0.012694	
245.915359	1.573049	0.012633	
247.506058	1.571543	0.012573	
249.096802	1.570076	0.012515	
250.687546	1.568645	0.012457	
252.278320	1.567250	0.012401	
253.869110	1.565889	0.012345	
255.459930	1.564561	0.012290	
257.050751	1.563265	0.012237	
258.641602	1.562001	0.012184	
260.232483	1.560767	0.012132	
261.823364	1.559561	0.012081	
263.414276	1.558385	0.012030	
265.005188	1.557235	0.011981	
266.596130	1.556113	0.011932	
268.187103	1.555016	0.011884	
269.778076	1.553944	0.011837	
271.369080	1.552896	0.011791	
272.960083	1.551872	0.011745	
274.551117	1.550871	0.011700	
276.142151	1.549892	0.011656	
277.733215	1.548934	0.011612	
279.324310	1.547998	0.011569	
280.915405	1.547082	0.011526	
282.506500	1.546185	0.011485	
284.097626	1.545308	0.011444	
285.688782	1.544449	0.011403	
287.279907	1.543608	0.011363	
288.871063	1.542785	0.011324	
290.462250	1.541980	0.011285	
292.053436	1.541190	0.011247	
293.644653	1.540417	0.011209	
295.235870	1.539660	0.011172	
296.827087	1.538918	0.011135	
298.418335	1.538191	0.011099	
300.009583	1.537479	0.011064	
301.600861	1.536780	0.011028	
303.192139	1.536096	0.010994	
304.783417	1.535425	0.010960	
306.374725	1.534767	0.010926	
307.966034	1.534121	0.010893	
309.557373	1.533488	0.010860	
311.148682	1.532867	0.010827	
312.740051	1.532258	0.010795	
314.331360	1.531661	0.010764	
315.922760	1.531074	0.010733	
317.514099	1.530499	0.010702	
319.105499	1.529934	0.010671	
320.696869	1.529380	0.010641	
322.288269	1.528836	0.010612	
323.879669	1.528301	0.010583	
325.471069	1.527776	0.010554	
327.062500	1.527261	0.010525	
328.653900	1.526755	0.010497	
330.245331	1.526258	0.010469	
331.836792	1.525770	0.010442	
333.428223	1.525290	0.010415	
335.019684	1.524818	0.010388	
336.611145	1.524355	0.010361	
338.202576	1.523900	0.010335	
339.794037	1.523452	0.010309	
341.385529	1.523012	0.010284	
342.976990	1.522580	0.010259	
344.568481	1.522155	0.010234	
346.159973	1.521737	0.010209	
347.751434	1.521326	0.010185	
349.342957	1.520921	0.010160	
350.934418	1.520524	0.010137	
352.525940	1.520133	0.010113	
354.117401	1.519748	0.010090	
355.708923	1.519369	0.010067	
357.300415	1.518997	0.010044	
358.891907	1.518631	0.010021	
360.483429	1.518270	0.009999	
362.074921	1.517915	0.009977	
363.666443	1.517566	0.009955	
365.257965	1.517222	0.009934	
366.849457	1.516883	0.009912	
368.440979	1.516550	0.009891	
370.032471	1.516222	0.009870	
371.623962	1.515899	0.009850	
373.215485	1.515581	0.009829	
374.806976	1.515267	0.009809	
376.398499	1.514959	0.009789	
377.989990	1.514655	0.009769	
379.581482	1.514356	0.009750	
381.173004	1.514061	0.009730	
382.764465	1.513770	0.009711	
384.355988	1.513484	0.009692	
385.947449	1.513202	0.009673	
387.538971	1.512924	0.009655	
389.130432	1.512650	0.009636	
390.721924	1.512380	0.009618	
392.313416	1.512113	0.009600	
393.904846	1.511851	0.009582	
395.496338	1.511593	0.009565	
397.087799	1.511338	0.009547	
398.679260	1.511086	0.009530	
400.270691	1.510838	0.009513	
401.862122	1.510594	0.009496	
403.453583	1.510353	0.009479	
405.045013	1.510115	0.009462	
406.636414	1.509881	0.009445	
408.227844	1.509650	0.009429	
409.819275	1.509422	0.009413	
411.410706	1.509197	0.009397	
413.002045	1.508975	0.009381	
414.593445	1.508756	0.009365	
416.184814	1.508540	0.009350	
417.776215	1.508327	0.009334	
419.367584	1.508116	0.009319	
420.958923	1.507909	0.009304	
422.550232	1.507704	0.009289	
424.141602	1.507502	0.009274	
425.732910	1.507302	0.009259	
427.324219	1.507105	0.009244	
428.915527	1.506911	0.009230	
430.506836	1.506719	0.009215	
432.098083	1.506529	0.009201	
433.689362	1.506342	0.009187	
435.280609	1.506158	0.009173	
436.871887	1.505975	0.009159	
438.463135	1.505795	0.009145	
440.054352	1.505617	0.009132	
441.645569	1.505442	0.009118	
443.236725	1.505268	0.009105	
444.827942	1.505097	0.009092	
446.419098	1.504928	0.009078	
448.010254	1.504761	0.009065	
449.601379	1.504596	0.009052	
451.192535	1.504433	0.009039	
452.783600	1.504272	0.009027	
454.374695	1.504112	0.009014	
455.965759	1.503955	0.009002	
457.556824	1.503800	0.008989	
459.147888	1.503646	0.008977	
460.738922	1.503494	0.008965	
462.329987	1.503344	0.008953	
463.920959	1.503196	0.008941	
465.511963	1.503050	0.008929	
467.102875	1.502905	0.008917	
468.693848	1.502762	0.008905	
470.284760	1.502621	0.008894	
471.875671	1.502481	0.008882	
473.466614	1.502343	0.008871	
475.057465	1.502206	0.008859	
476.648346	1.502071	0.008848	
478.239166	1.501937	0.008837	
479.829987	1.501805	0.008826	
481.420746	1.501675	0.008815	
483.011566	1.501546	0.008804	
484.602295	1.501418	0.008793	
486.193054	1.501292	0.008782	
487.783752	1.501167	0.008772	
489.374451	1.501043	0.008761	
490.965149	1.500921	0.008751	
492.555756	1.500801	0.008740	
494.146393	1.500681	0.008730	
495.737000	1.500563	0.008720	
497.327576	1.500446	0.008709	
498.918152	1.500330	0.008699	
500.508698	1.500216	0.008689	
502.099213	1.500103	0.008679	
503.689697	1.499991	0.008670	
505.280182	1.499880	0.008660	
506.870605	1.499771	0.008650	
508.461029	1.499662	0.008640	
510.051422	1.499555	0.008631	
