Opt. Const. of Quartz E vs. nm
nm	n	k
241.143356	1.621127	0.000000	
242.734009	1.620432	0.000000	
244.324661	1.619737	0.000000	
245.915359	1.619042	0.000000	
247.506058	1.618346	0.000000	
249.096802	1.617650	0.000000	
250.687546	1.616954	0.000000	
252.278320	1.616257	0.000000	
253.869110	1.615561	0.000000	
255.459930	1.614863	0.000000	
257.050751	1.614166	0.000000	
258.641602	1.613468	0.000000	
260.232483	1.612770	0.000000	
261.823364	1.612072	0.000000	
263.414276	1.611373	0.000000	
265.005188	1.610674	0.000000	
266.596130	1.609974	0.000000	
268.187103	1.609275	0.000000	
269.778076	1.608575	0.000000	
271.369080	1.607875	0.000000	
272.960083	1.607174	0.000000	
274.551117	1.606473	0.000000	
276.142151	1.605772	0.000000	
277.733215	1.605070	0.000000	
279.324310	1.604368	0.000000	
280.915405	1.603666	0.000000	
282.506500	1.602964	0.000000	
284.097626	1.602261	0.000000	
285.688782	1.601558	0.000000	
287.279907	1.600854	0.000000	
288.871063	1.600151	0.000000	
290.462250	1.599447	0.000000	
292.053436	1.598742	0.000000	
293.644653	1.598037	0.000000	
295.235870	1.597332	0.000000	
296.827087	1.596627	0.000000	
298.418335	1.595922	0.000000	
300.009583	1.595216	0.000000	
301.600861	1.594509	0.000000	
303.192139	1.593803	0.000000	
304.783417	1.593096	0.000000	
306.374725	1.592389	0.000000	
307.966034	1.591681	0.000000	
309.557373	1.590973	0.000000	
311.148682	1.590265	0.000000	
312.740051	1.589556	0.000000	
314.331360	1.588848	0.000000	
315.922760	1.588138	0.000000	
317.514099	1.587429	0.000000	
319.105499	1.586719	0.000000	
320.696869	1.586009	0.000000	
322.288269	1.585299	0.000000	
323.879669	1.584588	0.000000	
325.471069	1.583877	0.000000	
327.062500	1.583165	0.000000	
328.653900	1.582454	0.000000	
330.245331	1.581742	0.000000	
331.836792	1.581029	0.000000	
333.428223	1.580317	0.000000	
335.019684	1.579603	0.000000	
336.611145	1.578890	0.000000	
338.202576	1.578176	0.000000	
339.794037	1.577462	0.000000	
341.385529	1.577132	0.000000	
342.976990	1.576858	0.000000	
344.568481	1.576584	0.000000	
346.159973	1.576310	0.000000	
347.751434	1.576036	0.000000	
349.342957	1.575761	0.000000	
350.934418	1.575487	0.000000	
352.525940	1.575213	0.000000	
354.117401	1.574939	0.000000	
355.708923	1.574664	0.000000	
357.300415	1.574390	0.000000	
358.891907	1.574116	0.000000	
360.483429	1.573841	0.000000	
362.074921	1.573567	0.000000	
363.666443	1.573292	0.000000	
365.257965	1.573018	0.000000	
366.849457	1.572743	0.000000	
368.440979	1.572468	0.000000	
370.032471	1.572194	0.000000	
371.623962	1.571919	0.000000	
373.215485	1.571644	0.000000	
374.806976	1.571369	0.000000	
376.398499	1.571094	0.000000	
377.989990	1.570819	0.000000	
379.581482	1.570544	0.000000	
381.173004	1.570269	0.000000	
382.764465	1.569994	0.000000	
384.355988	1.569719	0.000000	
385.947449	1.569443	0.000000	
387.538971	1.569168	0.000000	
389.130432	1.568893	0.000000	
390.721924	1.568617	0.000000	
392.313416	1.568342	0.000000	
393.904846	1.568066	0.000000	
395.496338	1.567876	0.000000	
397.087799	1.567691	0.000000	
398.679260	1.567506	0.000000	
400.270691	1.567320	0.000000	
401.862122	1.567135	0.000000	
403.453583	1.566950	0.000000	
405.045013	1.566765	0.000000	
406.636414	1.566579	0.000000	
408.227844	1.566394	0.000000	
409.819275	1.566209	0.000000	
411.410706	1.566023	0.000000	
413.002045	1.565838	0.000000	
414.593445	1.565653	0.000000	
416.184814	1.565467	0.000000	
417.776215	1.565282	0.000000	
419.367584	1.565096	0.000000	
420.958923	1.564911	0.000000	
422.550232	1.564725	0.000000	
424.141602	1.564540	0.000000	
425.732910	1.564354	0.000000	
427.324219	1.564169	0.000000	
428.915527	1.563983	0.000000	
430.506836	1.563797	0.000000	
432.098083	1.563612	0.000000	
433.689362	1.563426	0.000000	
435.280609	1.563288	0.000000	
436.871887	1.563160	0.000000	
438.463135	1.563033	0.000000	
440.054352	1.562906	0.000000	
441.645569	1.562778	0.000000	
443.236725	1.562651	0.000000	
444.827942	1.562524	0.000000	
446.419098	1.562396	0.000000	
448.010254	1.562269	0.000000	
449.601379	1.562142	0.000000	
451.192535	1.562014	0.000000	
452.783600	1.561887	0.000000	
454.374695	1.561759	0.000000	
455.965759	1.561632	0.000000	
457.556824	1.561505	0.000000	
459.147888	1.561377	0.000000	
460.738922	1.561250	0.000000	
462.329987	1.561122	0.000000	
463.920959	1.560995	0.000000	
465.511963	1.560868	0.000000	
467.102875	1.560740	0.000000	
468.693848	1.560613	0.000000	
470.284760	1.560485	0.000000	
471.875671	1.560358	0.000000	
473.466614	1.560230	0.000000	
475.057465	1.560103	0.000000	
476.648346	1.559975	0.000000	
478.239166	1.559848	0.000000	
479.829987	1.559720	0.000000	
481.420746	1.559592	0.000000	
483.011566	1.559465	0.000000	
484.602295	1.559337	0.000000	
486.193054	1.559210	0.000000	
487.783752	1.559082	0.000000	
489.374451	1.558955	0.000000	
490.965149	1.558827	0.000000	
492.555756	1.558699	0.000000	
494.146393	1.558572	0.000000	
495.737000	1.558444	0.000000	
497.327576	1.558317	0.000000	
498.918152	1.558189	0.000000	
500.508698	1.558061	0.000000	
502.099213	1.557934	0.000000	
503.689697	1.557806	0.000000	
505.280182	1.557678	0.000000	
506.870605	1.557551	0.000000	
508.461029	1.557437	0.000000	
510.051422	1.557356	0.000000	
511.641785	1.557276	0.000000	
513.232117	1.557196	0.000000	
514.822449	1.557116	0.000000	
516.412720	1.557035	0.000000	
518.003052	1.556955	0.000000	
519.593262	1.556875	0.000000	
521.183472	1.556794	0.000000	
522.773682	1.556714	0.000000	
524.363831	1.556634	0.000000	
525.953979	1.556553	0.000000	
527.544067	1.556473	0.000000	
529.134155	1.556393	0.000000	
530.724182	1.556312	0.000000	
532.314209	1.556232	0.000000	
533.904175	1.556152	0.000000	
535.494141	1.556071	0.000000	
537.084106	1.555991	0.000000	
538.673950	1.555911	0.000000	
540.263855	1.555830	0.000000	
541.853699	1.555750	0.000000	
543.443481	1.555670	0.000000	
545.033325	1.555589	0.000000	
546.623047	1.555509	0.000000	
548.212769	1.555428	0.000000	
549.802429	1.555348	0.000000	
551.392090	1.555268	0.000000	
552.981689	1.555187	0.000000	
554.571289	1.555107	0.000000	
556.160828	1.555027	0.000000	
557.750366	1.554946	0.000000	
559.339844	1.554866	0.000000	
560.929321	1.554785	0.000000	
562.518677	1.554705	0.000000	
564.108093	1.554625	0.000000	
565.697449	1.554544	0.000000	
567.286743	1.554464	0.000000	
568.876099	1.554384	0.000000	
570.465271	1.554303	0.000000	
572.054565	1.554223	0.000000	
573.643677	1.554142	0.000000	
575.232788	1.554062	0.000000	
576.821899	1.553982	0.000000	
578.411011	1.553901	0.000000	
580.000061	1.553821	0.000000	
581.588989	1.553740	0.000000	
583.177979	1.553660	0.000000	
584.766907	1.553579	0.000000	
586.355774	1.553499	0.000000	
587.944580	1.553419	0.000000	
589.533386	1.553343	0.000000	
591.122192	1.553295	0.000000	
592.710876	1.553247	0.000000	
594.299561	1.553199	0.000000	
595.888245	1.553151	0.000000	
597.476807	1.553103	0.000000	
599.065369	1.553055	0.000000	
600.653931	1.553007	0.000000	
602.242371	1.552959	0.000000	
603.830811	1.552911	0.000000	
605.419189	1.552863	0.000000	
607.007568	1.552815	0.000000	
608.595886	1.552767	0.000000	
610.184143	1.552719	0.000000	
611.772339	1.552671	0.000000	
613.360535	1.552623	0.000000	
614.948730	1.552575	0.000000	
616.536804	1.552527	0.000000	
618.124878	1.552479	0.000000	
619.712891	1.552431	0.000000	
621.300842	1.552383	0.000000	
622.888794	1.552335	0.000000	
624.476685	1.552287	0.000000	
626.064453	1.552238	0.000000	
627.652222	1.552191	0.000000	
629.239990	1.552143	0.000000	
630.827698	1.552094	0.000000	
632.415344	1.552046	0.000000	
634.002930	1.551998	0.000000	
635.590515	1.551950	0.000000	
637.178040	1.551902	0.000000	
638.765503	1.551854	0.000000	
640.352905	1.551806	0.000000	
641.940247	1.551758	0.000000	
643.527588	1.551710	0.000000	
645.114868	1.551662	0.000000	
646.702026	1.551614	0.000000	
648.289246	1.551566	0.000000	
649.876343	1.551518	0.000000	
651.463440	1.551470	0.000000	
653.050415	1.551422	0.000000	
654.637390	1.551374	0.000000	
656.224365	1.551326	0.000000	
657.811218	1.551278	0.000000	
659.398071	1.551230	0.000000	
660.984802	1.551182	0.000000	
662.571533	1.551134	0.000000	
664.158203	1.551086	0.000000	
665.744812	1.551038	0.000000	
667.331360	1.550990	0.000000	
668.917847	1.550942	0.000000	
670.504333	1.550894	0.000000	
672.090698	1.550846	0.000000	
673.677124	1.550798	0.000000	
675.263367	1.550750	0.000000	
676.849609	1.550702	0.000000	
678.435791	1.550654	0.000000	
680.021912	1.550606	0.000000	
681.608032	1.550558	0.000000	
683.194031	1.550510	0.000000	
684.779968	1.550462	0.000000	
686.365906	1.550414	0.000000	
687.951782	1.550366	0.000000	
689.537537	1.550318	0.000000	
691.123291	1.550270	0.000000	
692.708984	1.550222	0.000000	
694.294617	1.550174	0.000000	
695.880188	1.550126	0.000000	
697.465698	1.550078	0.000000	
699.051147	1.550030	0.000000	
700.636597	1.549982	0.000000	
702.221863	1.549934	0.000000	
703.807190	1.549886	0.000000	
705.392395	1.549838	0.000000	
706.977539	1.549790	0.000000	
708.562622	1.549742	0.000000	
710.147705	1.549694	0.000000	
711.732666	1.549646	0.000000	
713.317627	1.549598	0.000000	
714.902466	1.549549	0.000000	
716.487244	1.549501	0.000000	
718.072021	1.549453	0.000000	
719.656677	1.549405	0.000000	
721.241333	1.549357	0.000000	
722.825806	1.549309	0.000000	
724.410339	1.549261	0.000000	
725.994751	1.549213	0.000000	
727.579163	1.549165	0.000000	
729.163452	1.549117	0.000000	
730.747681	1.549069	0.000000	
732.331848	1.549021	0.000000	
733.915955	1.548973	0.000000	
735.500000	1.548925	0.000000	
737.083984	1.548877	0.000000	
738.667847	1.548829	0.000000	
740.251770	1.548781	0.000000	
741.835571	1.548733	0.000000	
743.419250	1.548685	0.000000	
745.002869	1.548637	0.000000	
746.586487	1.548589	0.000000	
748.170044	1.548541	0.000000	
749.753479	1.548493	0.000000	
751.336853	1.548445	0.000000	
752.920166	1.548397	0.000000	
754.503418	1.548349	0.000000	
756.086609	1.548301	0.000000	
757.669739	1.548253	0.000000	
759.252808	1.548205	0.000000	
760.835754	1.548157	0.000000	
762.418640	1.548109	0.000000	
764.001465	1.548061	0.000000	
765.584290	1.548013	0.000000	
767.166931	1.547965	0.000000	
768.749573	1.547925	0.000000	
770.332153	1.547892	0.000000	
771.914673	1.547859	0.000000	
773.497009	1.547827	0.000000	
775.079407	1.547794	0.000000	
776.661682	1.547762	0.000000	
778.243835	1.547729	0.000000	
779.825989	1.547696	0.000000	
781.408081	1.547664	0.000000	
782.990051	1.547631	0.000000	
784.571960	1.547598	0.000000	
786.153809	1.547566	0.000000	
787.735535	1.547533	0.000000	
789.317261	1.547501	0.000000	
790.898865	1.547468	0.000000	
792.480408	1.547435	0.000000	
794.061890	1.547403	0.000000	
795.643250	1.547370	0.000000	
797.224548	1.547338	0.000000	
798.805786	1.547305	0.000000	
